,NBR_EMPLOYEES,EMPL_GROWTH,COUNTRY_RISK_GROWTH_RATE,COUNTRY_RISK_DIVIDEND_YIELD,COUNTRY_RISK_PAYOUT_RATIO,VOLATILITY_30D,VOLATILITY_180D,PCT_CHG_1_YEAR,PCT_CHG_6_M,DIVIDEND_YIELD,MARKETCAP,TOTAL_ASSETS,TOTAL_LIABILITIES,CURRENT_ASSETS,EBIT,RETAINED_EARNINGS,SALES,SALES_GROWTH,INTEREST_EXPENSES,WHISTLE_BLOWER_POLICY,ETHICS_POLICY,BRIBERY_POLICY
0,-0.265701731657351,-0.0430841541475803,-4.94992222723903,-3.59598150325517,-3.9049078741105596,0.683447191845865,0.0036778525837503602,0.8608321496971229,-0.0943853109079396,-0.566459165165442,-0.3055737119141789,-0.124605129265282,-0.0867611724267945,-0.0713527814804469,-0.191789451038325,-0.42296261251913203,-0.255913261623013,-0.0281569894622286,0.34666694837376505,1,1,1
1,-0.33936486492562606,-0.0584432928602195,0.29822359100635604,-0.34468912277756497,-0.0223056655734487,-0.29371393484084496,-0.0151848380036378,-0.7064935576196469,-0.564620267128182,1.35508949895695,-0.31346516106178196,-0.12434417639976598,-0.0984663740851497,-0.0750417567218463,-0.255817895488165,-0.20618956468182,-0.275196107197637,-0.0832450579479097,-0.07983811406988901,-1,-1,-1
2,-0.32438125655725797,-0.0405109997398784,-4.94992222723903,-3.59598150325517,-3.9049078741105596,0.222091858386248,0.238449290647458,-0.360337010165312,0.352361396928939,-0.309114759174333,-0.159855566036604,-0.0671595426736298,-0.0620656925518402,-0.0632246645597128,-0.41941491312940204,-0.163841491492745,-0.294051589287328,-0.21976716982794894,0.0719150509933327,-1,-1,-1
3,-0.332437769599546,0.0505151112360267,-4.94992222723903,-3.59598150325517,-3.9049078741105596,0.44922731207349004,0.5450243727265801,1.3596289654105902,-0.152198037719633,1.20635030303994,-0.151737603566322,0.0221628995405227,0.0398639011193503,-0.0691537270982101,-0.13351380143142502,-0.0483988298985814,-0.24175221356445,0.0712567795832648,0.5740245166051999,-1,-1,-1
4,-0.338637017952958,-0.0368008701287734,0.29822359100635604,-0.34468912277756497,-0.0223056655734487,2.30784595664142,1.84383145700834,-0.40898005811736404,-0.549621920143502,-0.566459165165442,-0.33611542533665395,-0.15132603291744598,-0.11406914210838699,-0.0786804973124499,-0.30323591129712,-0.202898693640164,-0.299539415080964,-0.0656432719279439,-0.22360052007431797,-1,-1,-1
5,-0.330329523195957,-0.0168232491459,0.29822359100635604,-0.34468912277756497,-0.0223056655734487,1.31076661755117,0.23941268323506698,-0.0623844702541384,-0.511291375063981,-0.566459165165442,-0.31967490884862604,-0.15001292728508,-0.11251139753769901,-0.07759704114696099,-0.27433820344159904,-0.17582902433857697,-0.289198885248112,-0.006248069392767329,-0.23379505397868303,-1,-1,-1
6,-0.335650335547873,0.7536180470196959,-0.0781798825316867,1.35112465426597,0.739948605756293,1.5176778319905901,1.06751393462829,-1.4935604660662498,-2.19340901280298,-0.566459165165442,-0.34528190319902197,-0.14480163582518302,-0.10838883061441401,-0.0760931465655077,-0.318657285929956,-0.24222428812876298,-0.298799961168373,-0.0656432719279439,-0.23379505397868303,-1,-1,-1
7,-0.32209732295336896,-0.0253431169180077,0.29822359100635604,-0.34468912277756497,-0.0223056655734487,0.324174191703593,0.447333302637957,-1.14604051872059,-0.603138409463287,-0.566459165165442,-0.282323856286112,-0.138789041312554,-0.110422912217209,-0.0705417213610909,-0.25056732968150197,-0.18323398378569897,-0.278983860148491,-0.0603338725119586,-0.22748218781301896,-1,-1,-1
8,-0.32970206890917403,-0.00856381805961192,-0.0781798825316867,1.35112465426597,0.739948605756293,1.8110949392475701,1.42460196073553,-1.47315819107813,-1.51886502490946,-0.566459165165442,-0.328752251026737,-0.146411223816353,-0.11271773880749698,-0.077749712727607,-0.28146165633187203,-0.18442659232967998,-0.288743682126227,0.095298676550916,-0.23379505397868303,-1,-1,-1
9,0.09802096930477802,-0.0350732985937122,-1.0490639486745401,1.8897467218620903,2.4652316078887795,-0.7840046319031,-0.83812676090505,0.561057526269749,0.5306029859506579,0.0115783012753319,0.28875832144396396,0.0192622241185448,0.0187160948236492,0.00332325920209614,0.10079780538794,-0.0329189429125918,0.11001046698814802,-0.060662261443769995,0.256374484955828,0,1,1
